org,district,name,short_name,cfa_grp_name
CFA,12,Trawool,TWOL,Mitchell Shire
CFA,12,Wallan,WALL,Mitchell Shire
CFA,12,Wandong,WANG,Mitchell Shire
CFA,12,Whanregarwen,WHAN,Alexandra
CFA,12,Whiteheads Creek-Tarcombe,WCTM,Mitchell Shire
CFA,12,Yarck,YARK,Alexandra
CFA,12,Yea,YEAA,Yea
CFA,12,Limestone,LIME,Yea
CFA,12,Narbethong,NARB,Alexandra
CFA,12,Marysville,MVIL,Alexandra
CFA,12,Clonbinane,CLON,Mitchell Shire
CFA,13,Badger Creek,BADG,Maroondah
CFA,13,Bayswater,BAYS,Knox
CFA,13,Belgrave,BELG,Dandenong Ranges
CFA,13,Belgrave Heights & South,BELS,Dandenong Ranges
CFA,13,Boronia,BORO,Knox
CFA,13,Chirnside Park,CHIR,Maroondah
CFA,13,Clematis,CLEM,Dandenong Ranges
CFA,13,Coldstream,COLD,Maroondah
CFA,13,Dixons Creek,DIXO,Maroondah
CFA,13,Emerald,EMLD,Dandenong Ranges
CFA,13,Ferntree Gully,FERN,Knox
CFA,13,Gruyere,GRUY,Yarra Valley
CFA,13,Healesville,HVIL,Maroondah
CFA,13,Hillcrest,HILC,Yarra Valley
CFA,13,Hoddle's Creek,HODD,Yarra Valley
CFA,13,Kallista-The Patch,KALL,Dandenong Ranges
CFA,13,Kalorama & Mt Dandenong,KALO,Dandenong Ranges
CFA,13,Lilydale,LDAL,Maroondah
CFA,13,Little Yarra,LTYA,Yarra Valley
CFA,13,Macclesfield,MACC,Dandenong Ranges
CFA,13,Menzies Creek,MENZ,Dandenong Ranges
CFA,13,Monbulk,MONB,Dandenong Ranges
CFA,13,Montrose,MONT,Knox
CFA,13,Mt Evelyn,MTEV,Maroondah
CFA,13,Narre Warren East,NAWE,Dandenong Ranges
CFA,13,Olinda,OLIN,Dandenong Ranges
CFA,13,Sassafras & Ferny Creek,SASS,Dandenong Ranges
CFA,13,Scoresby,SCOR,Knox
CFA,13,Selby,SELB,Dandenong Ranges
CFA,13,Seville,SEVI,Yarra Valley
CFA,13,Silvan,SILV,Dandenong Ranges
CFA,13,Upper Ferntree Gully,UPPE,Knox
CFA,13,Upwey,UPWE,Dandenong Ranges
CFA,13,Wandin,WAND,Yarra Valley
CFA,13,Warburton,WARB,Yarra Valley
CFA,13,South Warrandyte,STHW,Maroondah
CFA,13,Wesburn-Millgrove,WBRN,Yarra Valley
CFA,13,Wonga Park,WONG,Maroondah
